========================================
覆盖路径点统计信息
========================================
总路径点数: 585

总路径距离: 388.886 米

----------------------------------------
按房间统计
----------------------------------------
房间 8: 585 个点, 距离: 388.886 米

----------------------------------------
按房间+Segment统计
----------------------------------------
房间 8, Segment 0: 585 个点, 距离: 388.886 米

----------------------------------------
详细路径点信息
----------------------------------------
ID	Room	Segment	X(m)	Y(m)	Yaw(rad)	U(px)	V(px)	Acc_Dist	Room_Dist	Seg_Dist
0	8	0	0.181864	-50.208443	-2.918973	1781	1412	0.000	0.000	0.000
1	8	0	-0.374154	-50.334310	-2.918973	1770	1414	0.570	0.570	0.570
2	8	0	-0.923641	-50.310323	3.097967	1759	1414	1.120	1.120	1.120
3	8	0	-1.473116	-50.286330	3.097955	1748	1413	1.670	1.670	1.670
4	8	0	-2.020406	-50.212386	3.007296	1737	1412	2.222	2.222	2.222
5	8	0	-2.572067	-50.238350	-3.094562	1726	1412	2.775	2.775	2.775
6	8	0	-3.169320	-50.162227	3.014821	1714	1411	3.377	3.377	3.377
7	8	0	-3.718795	-50.138234	3.097955	1703	1410	3.927	3.927	3.927
8	8	0	-4.266085	-50.064290	3.007296	1692	1409	4.479	4.479	4.479
9	8	0	-4.824288	-50.240108	-2.836458	1681	1412	5.064	5.064	5.064
10	8	0	-5.373763	-50.216121	3.097966	1670	1412	5.614	5.614	5.614
11	8	0	-5.923239	-50.192128	3.097955	1659	1411	6.164	6.164	6.164
12	8	0	-6.472714	-50.168135	3.097955	1648	1411	6.714	6.714	6.714
13	8	0	-7.224178	-50.185378	-3.118652	1633	1411	7.466	7.466	7.466
14	8	0	-7.571664	-50.120162	2.956071	1626	1410	7.819	7.819	7.819
15	8	0	-8.327499	-50.237300	-2.987837	1611	1412	8.584	8.584	8.584
16	8	0	-8.876974	-50.213307	3.097955	1600	1412	9.134	9.134	9.134
17	8	0	-9.424276	-50.139363	3.007299	1589	1410	9.687	9.687	9.687
18	8	0	-9.978109	-50.215279	-3.005369	1578	1412	10.246	10.246	10.246
19	8	0	-10.523226	-50.091390	2.918118	1567	1409	10.805	10.805	10.805
20	8	0	-11.074887	-50.117342	-3.094584	1556	1410	11.357	11.357	11.357
21	8	0	-11.633077	-50.293166	-2.836442	1545	1413	11.942	11.942	11.942
22	8	0	-12.184738	-50.319124	-3.094573	1534	1414	12.494	12.494	12.494
23	8	0	-12.734213	-50.295137	3.097966	1523	1414	13.044	13.044	13.044
24	8	0	-13.283688	-50.271144	3.097955	1512	1413	13.594	13.594	13.594
25	8	0	-13.833163	-50.247151	3.097955	1501	1413	14.144	14.144	14.144
26	8	0	-14.378280	-50.123262	2.918118	1490	1410	14.703	14.703	14.703
27	8	0	-14.934298	-50.249129	-2.918973	1479	1413	15.273	15.273	15.273
28	8	0	-15.483773	-50.225136	3.097955	1468	1412	15.823	15.823	15.823
29	8	0	-16.037619	-50.301052	-3.005372	1456	1414	16.382	16.382	16.382
30	8	0	-16.589279	-50.327010	-3.094573	1445	1414	16.935	16.935	16.935
31	8	0	-17.147482	-50.502834	-2.836448	1434	1418	17.520	17.520	17.520
32	8	0	-17.755636	-50.676473	-2.863475	1422	1421	18.152	18.152	18.152
33	8	0	-18.355062	-50.650301	3.097959	1410	1421	18.752	18.752	18.752
34	8	0	-18.478952	-51.195412	-1.794273	1408	1432	19.311	19.311	19.311
35	8	0	-18.502951	-51.744887	-1.614445	1407	1443	19.861	19.861	19.861
36	8	0	-18.524752	-52.244411	-1.614414	1407	1453	20.361	20.361	20.361
