========================================
覆盖路径点统计信息
========================================
总路径点数: 1690

总路径距离: 1061.124 米

----------------------------------------
按房间统计
----------------------------------------
房间 5: 1690 个点, 距离: 1061.124 米

----------------------------------------
按房间+Segment统计
----------------------------------------
房间 5, Segment 0: 1690 个点, 距离: 1061.124 米

----------------------------------------
详细路径点信息
----------------------------------------
ID	Room	Segment	X(m)	Y(m)	Yaw(rad)	U(px)	V(px)	Acc_Dist	Room_Dist	Seg_Dist
0	5	0	75.226970	-19.419590	0.781384	3282	796	0.000	0.000	0.000
1	5	0	75.617437	-19.032246	0.781380	3290	788	0.550	0.550	0.550
2	5	0	76.007903	-18.644905	0.459625	3297	781	1.100	1.100	1.100
3	5	0	76.291313	-18.504622	-0.789417	3303	778	1.416	1.416	1.416
4	5	0	76.608232	-18.824098	-2.360223	3309	784	1.866	1.866	1.866
5	5	0	76.395244	-19.035377	-2.360212	3305	788	2.166	2.166	2.166
6	5	0	76.004778	-19.422719	-2.360208	3297	796	2.716	2.716	2.716
7	5	0	75.614312	-19.810063	-0.789416	3290	804	3.266	3.266	3.266
8	5	0	76.001653	-20.200529	0.781384	3297	812	3.816	3.816	3.816
9	5	0	76.392119	-19.813185	0.781380	3305	804	4.366	4.366	4.366
10	5	0	76.782585	-19.425844	-0.290063	3313	796	4.916	4.916	4.916
11	5	0	77.382915	-19.605031	-1.288755	3325	800	5.543	5.543	5.543
12	5	0	77.557280	-20.206776	-2.360212	3328	812	6.169	6.169	6.169
13	5	0	77.166814	-20.594117	-2.360208	3321	819	6.719	6.719	6.719
14	5	0	76.776348	-20.981462	-0.789416	3313	827	7.269	7.269	7.269
15	5	0	77.163689	-21.371928	0.781384	3321	835	7.819	7.819	7.819
16	5	0	77.554155	-20.984584	0.781380	3328	827	8.369	8.369	8.369
17	5	0	77.944622	-20.597242	0.193372	3336	820	8.919	8.919	8.919
18	5	0	78.298455	-20.527955	-1.498043	3343	818	9.280	9.280	9.280
19	5	0	78.331963	-20.987715	-2.360212	3344	827	9.741	9.741	9.741
20	5	0	77.941497	-21.375056	-2.360208	3336	835	10.291	10.291	10.291
21	5	0	77.551030	-21.762401	-1.665466	3328	843	10.841	10.841	10.841
22	5	0	77.514116	-22.151161	-0.004021	3328	851	11.231	11.231	11.231
23	5	0	77.938372	-22.152867	0.781384	3336	851	11.656	11.656	11.656
24	5	0	78.328838	-21.765523	0.781380	3344	843	12.206	12.206	12.206
25	5	0	78.719304	-21.378181	1.369384	3352	835	12.756	12.756	12.756
26	5	0	78.791436	-21.024910	2.352181	3353	828	13.116	13.116	13.116
27	5	0	78.721013	-20.953920	2.352179	3352	827	13.216	13.216	13.216
28	5	0	77.911113	-20.137489	2.732687	3335	810	14.366	14.366	14.366
29	5	0	77.169927	-19.816310	-2.360212	3321	804	15.174	15.174	15.174
30	5	0	76.779460	-20.203651	-2.360208	3313	812	15.724	15.724	15.724
31	5	0	76.388994	-20.590996	-0.924939	3305	819	16.274	16.274	16.274
32	5	0	77.725396	-22.364143	-0.290073	3332	855	18.494	18.494	18.494
33	5	0	78.325713	-22.543333	0.781384	3344	858	19.121	19.121	19.121
34	5	0	78.716179	-22.155989	0.781380	3352	851	19.671	19.671	19.671
35	5	0	79.106646	-21.768648	1.245018	3359	843	20.221	20.221	20.221
36	5	0	79.213994	-21.450874	-0.789417	3362	837	20.556	20.556	20.556
37	5	0	79.530913	-21.770350	-1.665496	3368	843	21.006	21.006	21.006
38	5	0	79.493987	-22.159114	-2.360212	3367	851	21.397	21.397	21.397
39	5	0	79.103521	-22.546455	-2.360208	3359	859	21.947	21.947	21.947
40	5	0	78.713054	-22.933800	2.851520	3352	866	22.497	22.497	22.497
41	5	0	78.112737	-22.754609	-0.523162	3340	863	23.123	23.123	23.123
42	5	0	79.100408	-23.324266	0.781384	3359	874	24.263	24.263	24.263
43	5	0	79.490874	-22.936921	0.781384	3367	866	24.813	24.813	24.813
44	5	0	79.881340	-22.549577	1.476127	3375	859	25.363	25.363	25.363
45	5	0	79.918254	-22.160817	-1.148185	3376	851	25.754	25.754	25.754
