========================================
覆盖路径点统计信息
========================================
总路径点数: 2645

总路径距离: 1633.262 米

----------------------------------------
按房间统计
----------------------------------------
房间 3: 2645 个点, 距离: 1633.262 米

----------------------------------------
按房间+Segment统计
----------------------------------------
房间 3, Segment 0: 2645 个点, 距离: 1633.262 米

----------------------------------------
详细路径点信息
----------------------------------------
ID	Room	Segment	X(m)	Y(m)	Yaw(rad)	U(px)	V(px)	Acc_Dist	Room_Dist	Seg_Dist
0	3	0	-5.929745	-35.503883	1.527170	1659	1118	0.000	0.000	0.000
1	3	0	-5.905758	-34.954408	1.527170	1659	1107	0.550	0.550	0.550
2	3	0	-5.883944	-34.454884	1.527155	1660	1097	1.050	1.050	1.050
3	3	0	-5.859957	-33.905403	1.527170	1660	1086	1.600	1.600	1.600
4	3	0	-5.838143	-33.405879	1.527155	1660	1076	2.100	2.100	2.100
5	3	0	-5.864108	-32.854219	1.617827	1660	1065	2.652	2.652	2.652
6	3	0	-6.365817	-32.882362	-3.085556	1650	1065	3.155	3.155	3.155
7	3	0	-6.913107	-32.808418	3.007296	1639	1064	3.707	3.707	3.707
8	3	0	-7.464767	-32.834383	-3.094562	1628	1064	4.259	4.259	4.259
9	3	0	-7.964291	-32.812575	3.097963	1618	1064	4.759	4.759	4.759
10	3	0	-8.461630	-32.740810	2.998284	1608	1062	5.262	5.262	5.262
11	3	0	-9.011105	-32.716823	3.097966	1597	1062	5.812	5.812	5.812
12	3	0	-9.658309	-32.638515	3.021184	1584	1060	6.464	6.464	6.464
13	3	0	-10.007980	-32.623250	3.097965	1577	1060	6.814	6.814	6.814
14	3	0	-10.357650	-32.607985	3.097965	1570	1060	7.164	7.164	7.164
15	3	0	-11.109115	-32.625221	-3.118660	1555	1060	7.915	7.915	7.915
16	3	0	-11.656405	-32.551277	3.007296	1544	1059	8.468	8.468	8.468
17	3	0	-12.160299	-32.629372	-2.987834	1534	1060	8.978	8.978	8.978
18	3	0	-12.659823	-32.607564	3.097963	1524	1060	9.478	9.478	9.478
19	3	0	-13.211471	-32.633528	-3.094560	1513	1060	10.030	10.030	10.030
20	3	0	-13.763131	-32.659486	-3.094573	1502	1061	10.582	10.582	10.582
21	3	0	-14.264840	-32.687630	-3.085556	1492	1061	11.085	11.085	11.085
22	3	0	-14.768722	-32.765724	-2.987830	1482	1063	11.594	11.594	11.594
23	3	0	-15.324740	-32.891591	-2.918973	1471	1065	12.165	12.165	12.165
24	3	0	-16.143612	-33.306270	-2.672836	1454	1074	13.082	13.082	13.082
25	3	0	-16.703988	-33.532039	-2.758599	1443	1078	13.687	13.687	13.687
26	3	0	-17.257833	-33.607948	-3.005382	1432	1080	14.246	14.246	14.246
27	3	0	-17.809494	-33.633913	-3.094562	1421	1080	14.798	14.798	14.798
28	3	0	-18.356784	-33.559968	3.007296	1410	1079	15.350	15.350	15.350
29	3	0	-18.906259	-33.535982	3.097966	1399	1078	15.900	15.900	15.900
30	3	0	-19.403598	-33.464217	2.998284	1389	1077	16.403	16.403	16.403
31	3	0	-19.955258	-33.490181	-3.094562	1378	1077	16.955	16.955	16.955
32	3	0	-20.504733	-33.466188	3.097955	1367	1077	17.505	17.505	17.505
33	3	0	-21.056393	-33.492146	-3.094573	1356	1077	18.057	18.057	18.057
34	3	0	-21.603695	-33.418208	3.007310	1345	1076	18.609	18.609	18.609
35	3	0	-22.155343	-33.444166	-3.094572	1334	1076	19.162	19.162	19.162
36	3	0	-22.704831	-33.420180	3.097967	1323	1076	19.712	19.712	19.712
37	3	0	-23.204355	-33.398366	3.097951	1313	1076	20.212	20.212	20.212
38	3	0	-23.814682	-33.621956	-2.790432	1301	1080	20.862	20.862	20.862
39	3	0	-24.364157	-33.597969	3.097966	1290	1080	21.412	21.412	21.412
40	3	0	-24.918002	-33.673885	-3.005372	1279	1081	21.971	21.971	21.971
41	3	0	-25.467477	-33.649892	3.097955	1268	1081	22.521	22.521	22.521
42	3	0	-26.016952	-33.625905	3.097966	1257	1080	23.071	23.071	23.071
43	3	0	-26.566427	-33.601912	3.097955	1246	1080	23.621	23.621	23.621
44	3	0	-27.115902	-33.577919	3.097955	1235	1079	24.171	24.171	24.171
45	3	0	-27.665378	-33.553932	3.097966	1224	1079	24.721	24.721	24.721
46	3	0	-28.219223	-33.629842	-3.005382	1213	1080	25.280	25.280	25.280
47	3	0	-28.714377	-33.508131	2.900568	1203	1078	25.790	25.790	25.790
48	3	0	-29.268222	-33.584041	-3.005382	1192	1079	26.349	26.349	26.349
49	3	0	-29.819882	-33.610005	-3.094562	1181	1080	26.901	26.901	26.901
50	3	0	-30.371530	-33.635969	-3.094560	1170	1080	27.453	27.453	27.453
51	3	0	-30.925375	-33.711879	-3.005382	1159	1082	28.012	28.012	28.012
52	3	0	-31.437985	-33.989784	-2.644806	1148	1087	28.595	28.595	28.595
53	3	0	-31.985275	-33.915840	3.007296	1138	1086	29.148	29.148	29.148
54	3	0	-32.534750	-33.891853	3.097966	1127	1085	29.698	29.698	29.698
55	3	0	-33.086410	-33.917812	-3.094573	1116	1086	30.250	30.250	30.250
56	3	0	-33.638070	-33.943782	-3.094550	1104	1086	30.802	30.802	30.802
57	3	0	-34.189731	-33.969740	-3.094573	1093	1087	31.354	31.354	31.354
58	3	0	-34.739206	-33.945747	3.097955	1082	1087	31.904	31.904	31.904
59	3	0	-35.277780	-33.671999	2.671340	1072	1081	32.509	32.509	32.509
60	3	0	-35.779489	-33.700136	-3.085569	1062	1082	33.011	33.011	33.011
61	3	0	-36.331137	-33.726100	-3.094560	1051	1082	33.563	33.563	33.563
62	3	0	-36.880612	-33.702107	3.097955	1040	1082	34.113	34.113	34.113
63	3	0	-37.432272	-33.728065	-3.094573	1029	1082	34.666	34.666	34.666
64	3	0	-37.979571	-33.654127	3.007310	1018	1081	35.218	35.218	35.218
65	3	0	-38.531225	-33.680086	-3.094572	1007	1081	35.770	35.770	35.770
66	3	0	-39.080707	-33.656099	3.097967	996	1081	36.320	36.320	36.320
67	3	0	-39.632361	-33.682063	-3.094561	985	1081	36.872	36.872	36.872
68	3	0	-40.175299	-33.508211	2.831702	974	1078	37.442	37.442	37.442
69	3	0	-40.674823	-33.486403	3.097963	964	1077	37.942	37.942	37.942
70	3	0	-41.233020	-33.662221	-2.836455	953	1081	38.528	38.528	38.528
71	3	0	-41.782495	-33.638234	3.097966	942	1080	39.078	39.078	39.078
72	3	0	-42.334155	-33.664192	-3.094573	931	1081	39.630	39.630	39.630
73	3	0	-42.885809	-33.690156	-3.094561	920	1081	40.182	40.182	40.182
74	3	0	-43.437469	-33.716115	-3.094573	909	1082	40.735	40.735	40.735
75	3	0	-43.980402	-33.542268	2.831709	898	1078	41.305	41.305	41.305
76	3	0	-44.532062	-33.568233	-3.094562	887	1079	41.857	41.857	41.857
77	3	0	-45.033765	-33.596370	-3.085568	877	1080	42.359	42.359	42.359
78	3	0	-45.583240	-33.572383	3.097966	866	1079	42.909	42.909	42.909
79	3	0	-46.130536	-33.498439	3.007298	855	1078	43.462	43.462	43.462
80	3	0	-46.680017	-33.474446	3.097956	844	1077	44.012	44.012	44.012
81	3	0	-47.227307	-33.400508	3.007307	833	1076	44.564	44.564	44.564
82	3	0	-47.772424	-33.276607	2.918097	822	1073	45.123	45.123	45.123
83	3	0	-48.313178	-33.052809	2.749193	811	1069	45.708	45.708	45.708
84	3	0	-48.856110	-32.878963	2.831709	800	1065	46.278	46.278	46.278
85	3	0	-49.394684	-32.605208	2.671331	789	1060	46.882	46.882	46.882
86	3	0	-49.946338	-32.631172	-3.094561	778	1060	47.435	47.435	47.435
87	3	0	-50.454590	-32.809169	-2.804727	768	1064	47.973	47.973	47.973
88	3	0	-51.008429	-32.885084	-3.005370	757	1065	48.532	48.532	48.532
89	3	0	-51.564447	-33.010951	-2.918973	746	1068	49.102	49.102	49.102
90	3	0	-52.118286	-33.086861	-3.005381	735	1069	49.661	49.661	49.661
91	3	0	-52.735162	-33.460310	-2.597221	723	1077	50.382	50.382	50.382
92	3	0	-52.806921	-33.957655	-1.714092	721	1087	50.885	50.885	50.885
93	3	0	-53.356403	-33.933668	3.097967	710	1086	51.435	51.435	51.435
94	3	0	-53.905878	-33.909676	3.097955	699	1086	51.985	51.985	51.985
95	3	0	-54.409760	-33.987770	-2.987830	689	1087	52.495	52.495	52.495
96	3	0	-54.959241	-33.963777	3.097956	678	1087	53.045	53.045	53.045
97	3	0	-55.513080	-34.039693	-3.005370	667	1088	53.604	53.604	53.604
98	3	0	-56.062555	-34.015706	3.097966	656	1088	54.154	54.154	54.154
99	3	0	-56.562079	-33.993892	3.097951	646	1087	54.654	54.654	54.654
100	3	0	-57.111554	-33.969905	3.097966	635	1087	55.204	55.204	55.204
101	3	0	-57.661029	-33.945912	3.097955	624	1087	55.754	55.754	55.754
102	3	0	-58.160553	-33.924104	3.097963	614	1086	56.254	56.254	56.254
103	3	0	-58.703491	-33.750252	2.831702	603	1083	56.824	56.824	56.824
104	3	0	-59.252967	-33.726265	3.097966	592	1082	57.374	57.374	57.374
105	3	0	-59.802442	-33.702272	3.097955	581	1082	57.924	57.924	57.924
106	3	0	-59.778449	-33.152797	1.527159	582	1071	58.474	58.474	58.474
107	3	0	-59.706690	-32.655452	1.427501	583	1061	58.976	58.976	58.976
108	3	0	-59.732654	-32.103798	1.617828	583	1050	59.529	59.529	59.529
109	3	0	-59.958423	-31.543410	1.953783	578	1038	60.133	60.133	60.133
110	3	0	-60.034339	-30.989577	1.707020	577	1027	60.692	60.692	60.692
111	3	0	-60.060297	-30.437916	1.617816	576	1016	61.244	61.244	61.244
112	3	0	-60.086261	-29.886262	1.617828	576	1005	61.796	61.796	61.796
113	3	0	-60.012317	-29.338966	1.436502	577	994	62.349	62.349	62.349
114	3	0	-60.088233	-28.785127	1.707019	575	983	62.908	62.908	62.908
115	3	0	-60.066419	-28.285603	1.527155	576	973	63.408	63.408	63.408
116	3	0	-60.042432	-27.736128	1.527170	576	962	63.958	63.958	63.958
117	3	0	-60.068390	-27.184468	1.617816	576	951	64.510	64.510	64.510
118	3	0	-60.044403	-26.634993	1.527170	576	940	65.060	65.060	65.060
119	3	0	-60.113776	-25.931300	1.669062	575	926	65.767	65.767	65.767
120	3	0	-60.339545	-25.370912	1.953783	570	915	66.371	66.371	66.371
121	3	0	-60.465412	-24.814894	1.793416	568	904	66.941	66.941	66.941
122	3	0	-60.341516	-24.269783	1.347309	570	893	67.500	67.500	67.500
123	3	0	-60.369660	-23.768074	1.626832	570	883	68.003	68.003	68.003
124	3	0	-60.195813	-23.225142	1.260913	573	872	68.573	68.573	68.573
125	3	0	-60.221771	-22.673488	1.617817	573	861	69.125	69.125	69.125
126	3	0	-60.197779	-22.124006	1.527159	573	850	69.675	69.675	69.675
127	3	0	-60.382324	-21.765620	2.046321	570	843	70.078	70.078	70.078
128	3	0	-60.358332	-21.216139	1.527159	570	832	70.628	70.628	70.628
129	3	0	-60.334345	-20.666664	1.527170	571	821	71.178	71.178	71.178
130	3	0	-60.310352	-20.117186	1.527159	571	810	71.728	71.728	71.728
131	3	0	-60.336316	-19.565532	1.617828	571	799	72.281	72.281	72.281
132	3	0	-60.312323	-19.016053	1.527159	571	788	72.831	72.831	72.831
133	3	0	-60.440369	-18.509987	1.818616	568	778	73.353	73.353	73.353
134	3	0	-60.416382	-17.960511	1.527170	569	767	73.903	73.903	73.903
135	3	0	-60.442340	-17.408851	1.617816	568	756	74.455	74.455	74.455
136	3	0	-60.418353	-16.859376	1.527170	569	745	75.005	75.005	75.005
137	3	0	-60.444312	-16.307716	1.617816	568	734	75.557	75.557	75.557
138	3	0	-60.420325	-15.758241	1.527170	569	723	76.107	76.107	76.107
139	3	0	-60.396332	-15.208763	1.527159	569	712	76.657	76.657	76.657
140	3	0	-60.422296	-14.657109	1.617828	569	701	77.209	77.209	77.209
141	3	0	-60.398303	-14.107634	1.527159	569	690	77.759	77.759	77.759
142	3	0	-60.424262	-13.555973	1.617816	569	679	78.312	78.312	78.312
143	3	0	-60.250415	-13.013041	1.260913	572	668	78.882	78.882	78.882
144	3	0	-60.276380	-12.461381	1.617827	572	657	79.434	79.434	79.434
145	3	0	-60.252387	-11.911906	1.527159	572	646	79.984	79.984	79.984
146	3	0	-60.228400	-11.362428	1.527170	573	635	80.534	80.534	80.534
147	3	0	-60.204407	-10.812953	1.527159	573	624	81.084	81.084	81.084
148	3	0	-60.280322	-10.259114	1.707019	572	613	81.643	81.643	81.643
149	3	0	-60.256330	-9.709639	1.527159	572	602	82.193	82.193	82.193
150	3	0	-60.382196	-9.153617	1.793415	570	591	82.763	82.763	82.763
151	3	0	-60.358203	-8.604142	1.527159	570	580	83.313	83.313	83.313
152	3	0	-60.384168	-8.052482	1.617827	570	569	83.865	83.865	83.865
153	3	0	-60.410132	-7.500828	1.617828	569	558	84.418	84.418	84.418
154	3	0	-60.436090	-6.949168	1.617816	569	547	84.970	84.970	84.970
155	3	0	-60.412103	-6.399693	1.527170	569	536	85.520	85.520	85.520
156	3	0	-60.438062	-5.848033	1.617816	568	525	86.072	86.072	86.072
157	3	0	-60.414069	-5.298558	1.527159	569	514	86.622	86.622	86.622
158	3	0	-60.440033	-4.746903	1.617828	568	503	87.174	87.174	87.174
159	3	0	-60.416040	-4.197425	1.527159	569	492	87.724	87.724	87.724
160	3	0	-60.392053	-3.647950	1.527170	569	481	88.274	88.274	88.274
161	3	0	-60.370239	-3.148426	1.527155	570	471	88.774	88.774	88.774
162	3	0	-60.296301	-2.601127	1.436513	571	460	89.327	89.327	89.327
163	3	0	-60.322260	-2.049473	1.617817	571	449	89.879	89.879	89.879
164	3	0	-60.298273	-1.499995	1.527170	571	438	90.429	90.429	90.429
165	3	0	-60.274280	-0.950520	1.527159	572	427	90.979	90.979	90.979
166	3	0	-60.250287	-0.401042	1.527159	572	416	91.529	91.529	91.529
167	3	0	-60.226300	0.148433	1.527170	573	405	92.079	92.079	92.079
168	3	0	-60.252259	0.700094	1.617816	572	394	92.631	92.631	92.631
169	3	0	-60.128363	1.245208	1.347310	575	383	93.190	93.190	93.190
170	3	0	-60.104376	1.794683	1.527170	575	372	93.740	93.740	93.740
171	3	0	-60.130335	2.346340	1.617817	575	361	94.292	94.292	94.292
172	3	0	-60.156299	2.897997	1.617828	574	350	94.845	94.845	94.845
173	3	0	-60.132306	3.447475	1.527159	575	339	95.395	95.395	95.395
174	3	0	-60.160449	3.949178	1.626833	574	329	95.897	95.897	95.897
175	3	0	-60.375318	4.759324	1.830049	570	312	96.735	96.735	96.735
176	3	0	-60.351325	5.308800	1.527159	570	301	97.285	97.285	97.285
177	3	0	-60.577100	5.869181	1.953797	566	290	97.890	97.890	97.890
178	3	0	-60.553107	6.418658	1.527159	566	279	98.440	98.440	98.440
179	3	0	-60.728925	6.976858	1.875932	563	268	99.025	99.025	99.025
180	3	0	-61.056781	7.491650	2.137887	556	258	99.635	99.635	99.635
181	3	0	-60.605030	7.521973	0.067024	565	257	100.088	100.088	100.088
182	3	0	-60.166364	7.252582	-0.550733	574	263	100.603	100.603	100.603
183	3	0	-59.890637	6.690020	-1.115079	579	274	101.229	101.229	101.229
184	3	0	-59.714820	6.131820	-1.265660	583	285	101.814	101.814	101.814
185	3	0	-59.386963	5.617028	-1.003705	590	295	102.425	102.425	102.425
186	3	0	-59.111237	5.054467	-1.115078	595	307	103.051	103.051	103.051
187	3	0	-58.692200	4.335503	-1.043094	603	321	103.883	103.883	103.883
188	3	0	-58.068988	3.707723	-0.789050	616	333	104.768	104.768	104.768
189	3	0	-57.387103	3.277569	-0.562782	630	342	105.574	105.574	105.574
190	3	0	-56.844171	3.103722	-0.309884	640	346	106.144	106.144	106.144
191	3	0	-56.346826	3.031960	-0.143301	650	347	106.647	106.647	106.647
192	3	0	-55.799530	2.958016	-0.134295	661	348	107.199	107.199	107.199
193	3	0	-55.250055	2.934026	-0.043632	672	349	107.749	107.749	107.749
194	3	0	-54.700580	2.910033	-0.043637	683	349	108.299	108.299	108.299
195	3	0	-54.146741	2.985949	0.136223	694	348	108.858	108.858	108.858
196	3	0	-53.597266	2.961959	-0.043632	705	348	109.408	109.408	109.408
197	3	0	-53.047791	2.937969	-0.043632	716	349	109.958	109.958	109.958
198	3	0	-52.498309	2.913976	-0.043637	727	349	110.508	110.508	110.508
199	3	0	-51.948834	2.889986	-0.043632	738	350	111.058	111.058	111.058
200	3	0	-51.401538	2.816042	-0.134295	749	351	111.610	111.610	111.610
201	3	0	-50.849884	2.842007	0.047032	760	351	112.163	112.163	112.163
202	3	0	-50.298224	2.867968	0.047026	771	350	112.715	112.715	112.715
203	3	0	-49.746570	2.893929	0.047026	782	350	113.267	113.267	113.267
204	3	0	-49.197089	2.869939	-0.043631	793	350	113.817	113.817	113.817
205	3	0	-48.697565	2.848128	-0.043636	803	351	114.317	114.317	114.317
206	3	0	-48.148090	2.824138	-0.043632	814	351	114.867	114.867	114.867
207	3	0	-47.594251	2.900051	0.136217	825	350	115.426	115.426	115.426
208	3	0	-47.044775	2.876061	-0.043632	836	350	115.976	115.976	115.976
209	3	0	-46.493115	2.902022	0.047026	847	350	116.528	116.528	116.528
210	3	0	-45.941461	2.927984	0.047026	858	349	117.081	117.081	117.081
211	3	0	-45.394165	2.854043	-0.134289	869	351	117.633	117.633	117.633
212	3	0	-44.840326	2.929955	0.136217	880	349	118.192	118.192	118.192
213	3	0	-44.290851	2.905965	-0.043632	891	349	118.742	118.742	118.742
214	3	0	-43.739191	2.931927	0.047026	902	349	119.294	119.294	119.294
215	3	0	-43.191894	2.857986	-0.134289	913	350	119.847	119.847	119.847
216	3	0	-42.388293	2.922994	0.080721	929	349	120.653	120.653	120.653
217	3	0	-41.834454	2.998907	0.136217	941	348	121.212	121.212	121.212
218	3	0	-41.284979	2.974917	-0.043632	952	348	121.762	121.762	121.762
219	3	0	-40.731140	3.050832	0.136223	963	347	122.321	122.321	122.321
220	3	0	-40.231616	3.029021	-0.043636	973	347	122.821	122.821	122.821
221	3	0	-39.682141	3.005031	-0.043632	984	348	123.371	123.371	123.371
222	3	0	-39.130481	3.030993	0.047026	995	347	123.923	123.923	123.923
223	3	0	-38.583191	2.957049	-0.134296	1006	348	124.475	124.475	124.475
224	3	0	-38.033710	2.933059	-0.043631	1017	349	125.025	125.025	125.025
225	3	0	-37.484238	2.909069	-0.043632	1028	349	125.575	125.575	125.575
226	3	0	-36.934762	2.885079	-0.043632	1039	350	126.125	126.125	126.125
227	3	0	-36.435238	2.863268	-0.043636	1049	350	126.625	126.625	126.625
228	3	0	-35.881393	2.939181	0.136216	1060	349	127.184	127.184	127.184
229	3	0	-35.331918	2.915191	-0.043632	1071	349	127.734	127.734	127.734
