========================================
覆盖路径点统计信息
========================================
总路径点数: 1108

总路径距离: 590.274 米

----------------------------------------
按房间统计
----------------------------------------
房间 7: 1108 个点, 距离: 590.274 米

----------------------------------------
按房间+Segment统计
----------------------------------------
房间 7, Segment 0: 1108 个点, 距离: 590.274 米

----------------------------------------
详细路径点信息
----------------------------------------
ID	Room	Segment	X(m)	Y(m)	Yaw(rad)	U(px)	V(px)	Acc_Dist	Room_Dist	Seg_Dist
0	7	0	17.864726	-56.843761	-0.018180	2135	1544	0.000	0.000	0.000
1	7	0	18.364643	-56.852851	-0.018180	2145	1545	0.500	0.500	0.500
2	7	0	18.864560	-56.861940	-0.018180	2155	1545	1.000	1.000	1.000
3	7	0	19.364478	-56.871030	-0.018180	2165	1545	1.500	1.500	1.500
4	7	0	19.864395	-56.880119	-0.018180	2175	1545	2.000	2.000	2.000
5	7	0	20.364312	-56.889208	-0.018180	2185	1545	2.500	2.500	2.500
6	7	0	20.864230	-56.898298	-0.018180	2195	1546	3.000	3.000	3.000
7	7	0	21.364147	-56.907387	-0.018180	2205	1546	3.500	3.500	3.500
8	7	0	21.864065	-56.916477	-0.018180	2215	1546	4.000	4.000	4.000
9	7	0	22.363982	-56.925566	-0.018180	2225	1546	4.500	4.500	4.500
10	7	0	22.863899	-56.934655	-0.018180	2235	1546	5.000	5.000	5.000
11	7	0	23.363817	-56.943745	-0.018180	2245	1546	5.500	5.500	5.500
12	7	0	23.863734	-56.952834	-0.018180	2255	1547	6.000	6.000	6.000
13	7	0	24.363651	-56.961924	-0.018180	2265	1547	6.500	6.500	6.500
14	7	0	24.863569	-56.971013	-0.018180	2275	1547	7.000	7.000	7.000
15	7	0	25.363486	-56.980103	-0.018180	2285	1547	7.500	7.500	7.500
16	7	0	25.863404	-56.989192	-0.018180	2295	1547	8.000	8.000	8.000
17	7	0	26.363321	-56.998281	-0.018180	2305	1548	8.500	8.500	8.500
18	7	0	26.863238	-57.007371	-0.018180	2315	1548	9.000	9.000	9.000
19	7	0	27.592532	-56.940001	0.237253	2329	1546	9.732	9.732	9.732
20	7	0	28.142251	-56.698097	0.426956	2340	1542	10.333	10.333	10.333
21	7	0	28.582784	-56.461600	0.492685	2349	1537	10.833	10.833	10.833
22	7	0	29.023317	-56.225103	0.492685	2358	1532	11.333	11.333	11.333
23	7	0	29.463851	-55.988607	0.492685	2367	1527	11.833	11.833	11.833
24	7	0	29.904384	-55.752110	0.492685	2375	1523	12.333	12.333	12.333
25	7	0	30.344917	-55.515613	0.492685	2384	1518	12.833	12.833	12.833
26	7	0	30.785450	-55.279117	0.492685	2393	1513	13.333	13.333	13.333
27	7	0	31.225983	-55.042620	0.492685	2402	1508	13.833	13.833	13.833
28	7	0	31.666516	-54.806123	0.640334	2411	1504	14.333	14.333	14.333
29	7	0	32.119837	-54.376642	0.771553	2420	1495	14.957	14.957	14.957
30	7	0	32.472476	-54.022176	0.787982	2427	1488	15.457	15.457	15.457
31	7	0	32.825115	-53.667711	0.787982	2434	1481	15.957	15.957	15.957
32	7	0	33.177753	-53.313245	0.787982	2441	1474	16.457	16.457	16.457
33	7	0	33.530392	-52.958779	0.787982	2448	1467	16.957	16.957	16.957
34	7	0	33.883031	-52.604313	0.787982	2455	1460	17.457	17.457	17.457
35	7	0	34.235669	-52.249848	0.787982	2462	1453	17.957	17.957	17.957
36	7	0	34.588308	-51.895382	0.787982	2469	1446	18.457	18.457	18.457
37	7	0	34.940947	-51.540916	0.787982	2476	1438	18.957	18.957	18.957
38	7	0	35.293585	-51.186450	0.787982	2483	1431	19.457	19.457	19.457
39	7	0	35.646224	-50.831984	0.787982	2490	1424	19.957	19.957	19.957
40	7	0	35.998862	-50.477519	0.787982	2497	1417	20.457	20.457	20.457
41	7	0	36.351501	-50.123053	0.787982	2504	1410	20.957	20.957	20.957
42	7	0	36.704140	-49.768587	0.787982	2511	1403	21.457	21.457	21.457
43	7	0	37.056778	-49.414121	0.787982	2518	1396	21.957	21.957	21.957
44	7	0	37.409417	-49.059656	0.787982	2525	1389	22.457	22.457	22.457
45	7	0	37.762056	-48.705190	0.787982	2532	1382	22.957	22.957	22.957
46	7	0	38.114694	-48.350724	0.787982	2540	1375	23.457	23.457	23.457
47	7	0	38.467333	-47.996258	0.787982	2547	1368	23.957	23.957	23.957
48	7	0	38.819972	-47.641792	0.787982	2554	1360	24.457	24.457	24.457
49	7	0	39.172610	-47.287327	0.787982	2561	1353	24.957	24.957	24.957
50	7	0	39.525249	-46.932861	0.787982	2568	1346	25.457	25.457	25.457
51	7	0	39.877887	-46.578395	0.784045	2575	1339	25.957	25.957	25.957
52	7	0	40.906240	-45.555603	0.782026	2595	1319	27.408	27.408	27.408
53	7	0	41.261659	-45.203926	0.780107	2602	1312	27.908	27.908	27.908
54	7	0	41.617078	-44.852248	0.780107	2610	1305	28.408	28.408	28.408
55	7	0	41.972497	-44.500570	0.780107	2617	1298	28.908	28.908	28.908
56	7	0	42.327916	-44.148892	0.780107	2624	1291	29.408	29.408	29.408
57	7	0	42.683335	-43.797214	0.780107	2631	1284	29.908	29.908	29.908
58	7	0	43.038754	-43.445536	0.780107	2638	1277	30.408	30.408	30.408
59	7	0	43.394173	-43.093859	0.780107	2645	1269	30.908	30.908	30.908
60	7	0	43.749592	-42.742181	0.780107	2652	1262	31.408	31.408	31.408
61	7	0	44.105011	-42.390503	0.780107	2659	1255	31.908	31.908	31.908
62	7	0	44.460430	-42.038825	0.780107	2666	1248	32.408	32.408	32.408
63	7	0	44.815849	-41.687147	0.780107	2674	1241	32.908	32.908	32.908
64	7	0	45.171268	-41.335470	0.780107	2681	1234	33.408	33.408	33.408
65	7	0	45.526687	-40.983792	0.780107	2688	1227	33.908	33.908	33.908
66	7	0	45.882107	-40.632114	0.780107	2695	1220	34.408	34.408	34.408
67	7	0	46.237526	-40.280436	0.780107	2702	1213	34.908	34.908	34.908
68	7	0	46.592945	-39.928758	0.780107	2709	1206	35.408	35.408	35.408
69	7	0	46.948364	-39.577081	0.780107	2716	1199	35.908	35.908	35.908
70	7	0	47.303783	-39.225403	0.780107	2723	1192	36.408	36.408	36.408
71	7	0	47.659202	-38.873725	0.780107	2730	1185	36.908	36.908	36.908
72	7	0	48.014621	-38.522047	0.780107	2738	1178	37.408	37.408	37.408
73	7	0	48.370040	-38.170369	0.780107	2745	1171	37.908	37.908	37.908
74	7	0	48.725459	-37.818691	0.780107	2752	1164	38.408	38.408	38.408
75	7	0	49.080878	-37.467014	0.780107	2759	1157	38.908	38.908	38.908
76	7	0	49.436297	-37.115336	0.780107	2766	1150	39.408	39.408	39.408
77	7	0	49.791716	-36.763658	0.780107	2773	1143	39.908	39.908	39.908
78	7	0	50.147135	-36.411980	0.780107	2780	1136	40.408	40.408	40.408
79	7	0	50.502554	-36.060302	0.780107	2787	1129	40.908	40.908	40.908
80	7	0	50.857973	-35.708625	0.780107	2794	1122	41.408	41.408	41.408
81	7	0	51.213393	-35.356947	0.780107	2802	1115	41.908	41.908	41.908
82	7	0	51.568812	-35.005269	0.780107	2809	1108	42.408	42.408	42.408
83	7	0	51.924231	-34.653591	0.780107	2816	1101	42.908	42.908	42.908
84	7	0	52.279650	-34.301913	0.780107	2823	1094	43.408	43.408	43.408
85	7	0	52.635069	-33.950235	0.785820	2830	1087	43.908	43.908	43.908
86	7	0	53.216913	-33.363859	0.790128	2842	1075	44.734	44.734	44.734
87	7	0	53.568291	-33.008143	0.791533	2849	1068	45.234	45.234	45.234
88	7	0	53.919669	-32.652427	0.791533	2856	1061	45.734	45.734	45.734
89	7	0	54.271046	-32.296711	0.791533	2863	1054	46.234	46.234	46.234
90	7	0	54.622424	-31.940996	0.791533	2870	1046	46.734	46.734	46.734
91	7	0	54.973802	-31.585280	0.791533	2877	1039	47.234	47.234	47.234
92	7	0	55.325180	-31.229564	0.791533	2884	1032	47.734	47.734	47.734
93	7	0	55.676557	-30.873848	0.791533	2891	1025	48.234	48.234	48.234
94	7	0	56.027935	-30.518133	0.791533	2898	1018	48.734	48.734	48.734
95	7	0	56.505519	-30.113471	0.791533	2907	1010	49.360	49.360	49.360
96	7	0	56.865210	-29.690031	0.785398	2915	1001	49.915	49.915	49.915
97	7	0	57.218763	-29.336478	0.785398	2922	994	50.415	50.415	50.415
98	7	0	57.572316	-28.982925	0.785398	2929	987	50.915	50.915	50.915
99	7	0	57.925870	-28.629371	0.785398	2936	980	51.415	51.415	51.415
100	7	0	58.279423	-28.275818	0.785398	2943	973	51.915	51.915	51.915
101	7	0	58.632977	-27.922264	0.785398	2950	966	52.415	52.415	52.415
102	7	0	58.986530	-27.568711	0.785398	2957	959	52.915	52.915	52.915
103	7	0	59.340083	-27.215158	0.785398	2964	952	53.415	53.415	53.415
104	7	0	59.693637	-26.861604	0.785398	2971	945	53.915	53.915	53.915
105	7	0	60.047190	-26.508051	0.785398	2978	938	54.415	54.415	54.415
106	7	0	60.400743	-26.154498	0.785398	2985	931	54.915	54.915	54.915
107	7	0	60.754297	-25.800944	0.785398	2992	924	55.415	55.415	55.415
108	7	0	61.107850	-25.447391	0.785398	2999	917	55.915	55.915	55.915
109	7	0	61.461404	-25.093837	0.785398	3006	909	56.415	56.415	56.415
110	7	0	61.814957	-24.740284	0.785398	3014	902	56.915	56.915	56.915
111	7	0	62.168510	-24.386731	0.785398	3021	895	57.415	57.415	57.415
112	7	0	62.522064	-24.033177	0.785398	3028	888	57.915	57.915	57.915
113	7	0	62.875617	-23.679624	0.785398	3035	881	58.415	58.415	58.415
114	7	0	63.229171	-23.326070	0.785398	3042	874	58.915	58.915	58.915
115	7	0	63.582724	-22.972517	0.785398	3049	867	59.415	59.415	59.415
116	7	0	63.936277	-22.618964	0.785398	3056	860	59.915	59.915	59.915
117	7	0	64.289831	-22.265410	0.785398	3063	853	60.415	60.415	60.415
118	7	0	64.643384	-21.911857	0.785398	3070	846	60.915	60.915	60.915
119	7	0	64.996938	-21.558303	0.785398	3077	839	61.415	61.415	61.415
120	7	0	65.350491	-21.204750	0.795201	3084	832	61.915	61.915	61.915
121	7	0	65.707136	-20.834043	0.804864	3091	824	62.430	62.430	62.430
122	7	0	66.053690	-20.473627	0.805003	3098	817	62.930	62.930	62.930
123	7	0	66.400245	-20.113210	0.805003	3105	810	63.430	63.430	63.430
124	7	0	66.746799	-19.752794	1.105326	3112	803	63.930	63.930	63.930
125	7	0	66.918875	-19.080659	1.355963	3116	789	64.624	64.624	64.624
126	7	0	66.593295	-18.064994	2.071217	3109	769	65.690	65.690	65.690
127	7	0	65.944163	-17.182086	2.284147	3096	751	66.786	66.786	66.786
128	7	0	65.531420	-16.843857	2.498092	3088	744	67.320	67.320	67.320
129	7	0	65.360796	-16.352710	1.855059	3084	735	67.840	67.840	67.840
130	7	0	65.321265	-15.679633	1.446608	3084	721	68.514	68.514	68.514
131	7	0	65.190992	-14.943863	1.212026	3081	706	69.261	69.261	69.261
132	7	0	65.366554	-14.475698	1.212026	3085	697	69.761	69.761	69.761
133	7	0	65.542115	-14.007533	1.212026	3088	688	70.261	70.261	70.261
134	7	0	65.717677	-13.539369	1.212026	3092	678	70.761	70.761	70.761
135	7	0	65.893239	-13.071204	1.182299	3095	669	71.261	71.261	71.261
136	7	0	66.199594	-12.361950	1.158941	3101	655	72.034	72.034	72.034
137	7	0	66.402663	-11.905045	1.152572	3105	646	72.534	72.534	72.534
138	7	0	66.605732	-11.448139	1.522559	3109	637	73.034	73.034	73.034
139	7	0	66.456042	-10.799308	2.264856	3106	624	73.700	73.700	73.700
140	7	0	65.829150	-10.514953	2.969725	3094	618	74.388	74.388	74.388
141	7	0	64.965443	-10.540569	-3.123991	3077	618	75.252	75.252	75.252
142	7	0	64.465445	-10.538960	3.138374	3067	618	75.752	75.752	75.752
143	7	0	63.965448	-10.537350	3.138374	3057	618	76.252	76.252	76.252
144	7	0	63.465451	-10.535741	3.138374	3047	618	76.752	76.752	76.752
145	7	0	62.965453	-10.534131	3.138374	3037	618	77.252	77.252	77.252
146	7	0	62.465456	-10.532522	3.138374	3027	618	77.752	77.752	77.752
147	7	0	61.965458	-10.530912	3.138374	3017	618	78.252	78.252	78.252
148	7	0	61.465461	-10.529303	3.138374	3007	618	78.752	78.752	78.752
149	7	0	60.965464	-10.527694	3.138374	2997	618	79.252	79.252	79.252
150	7	0	60.465466	-10.526084	3.138374	2987	618	79.752	79.752	79.752
151	7	0	59.965469	-10.524475	3.138374	2977	618	80.252	80.252	80.252
152	7	0	59.465471	-10.522865	3.138374	2967	618	80.752	80.752	80.752
153	7	0	58.965474	-10.521256	3.138374	2957	618	81.252	81.252	81.252
154	7	0	58.465476	-10.519646	3.138374	2947	618	81.752	81.752	81.752
155	7	0	57.965479	-10.518037	3.138374	2937	618	82.252	82.252	82.252
156	7	0	57.465482	-10.516428	3.138374	2927	618	82.752	82.752	82.752
157	7	0	56.965484	-10.514818	3.138374	2917	618	83.252	83.252	83.252
158	7	0	56.465487	-10.513209	3.138374	2907	618	83.752	83.752	83.752
159	7	0	55.965489	-10.511599	3.138374	2897	618	84.252	84.252	84.252
160	7	0	55.465492	-10.509990	3.138374	2887	618	84.752	84.752	84.752
161	7	0	54.965495	-10.508380	3.138374	2877	618	85.252	85.252	85.252
162	7	0	54.465497	-10.506771	3.138374	2867	618	85.752	85.752	85.752
163	7	0	53.965500	-10.505161	3.138374	2857	618	86.252	86.252	86.252
