========================================
覆盖路径点统计信息
========================================
总路径点数: 2186

总路径距离: 1608.589 米

----------------------------------------
按房间统计
----------------------------------------
房间 7: 2186 个点, 距离: 1608.589 米

----------------------------------------
按房间+Segment统计
----------------------------------------
房间 7, Segment 0: 2186 个点, 距离: 1608.589 米

----------------------------------------
详细路径点信息
----------------------------------------
ID	Room	Segment	X(m)	Y(m)	Yaw(rad)	U(px)	V(px)	Acc_Dist	Room_Dist	Seg_Dist
0	7	0	18.289811	-57.251259	-2.899171	2143	1553	0.000	0.000	0.000
1	7	0	17.681645	-57.401650	-2.899171	2131	1556	0.626	0.626	0.626
2	7	0	16.800138	-57.327773	3.057980	2113	1554	1.511	1.511	1.511
3	7	0	16.459257	-57.029775	2.423217	2106	1548	1.964	1.964	1.964
4	7	0	16.044645	-56.799343	2.634324	2098	1544	2.438	2.438	2.438
5	7	0	15.233793	-56.728548	3.054504	2082	1542	3.252	3.252	3.252
6	7	0	14.419853	-56.728401	3.141413	2066	1542	4.066	4.066	4.066
7	7	0	13.756449	-56.522493	2.840639	2052	1538	4.761	4.761	4.761
8	7	0	13.083793	-56.528511	-3.132646	2039	1538	5.433	5.433	5.433
9	7	0	12.417313	-56.393245	2.941356	2026	1535	6.113	6.113	6.113
10	7	0	11.821464	-56.261067	2.923297	2014	1533	6.724	6.724	6.724
11	7	0	11.087418	-56.052071	2.864214	1999	1529	7.487	7.487	7.487
12	7	0	10.451627	-56.024312	3.097960	1986	1528	8.123	8.123	8.123
13	7	0	9.969462	-55.720143	2.578806	1977	1522	8.693	8.693	8.693
14	7	0	9.272282	-55.477370	2.806503	1963	1517	9.432	9.432	9.432
15	7	0	8.790116	-55.173213	2.578824	1953	1511	10.002	10.002	10.002
16	7	0	8.344816	-54.835262	2.492401	1944	1504	10.561	10.561	10.561
17	7	0	7.936381	-54.463545	2.403226	1936	1497	11.113	11.113	11.113
18	7	0	7.527946	-54.091817	2.403210	1928	1489	11.665	11.665	11.665
19	7	0	7.156364	-53.686312	2.312568	1920	1481	12.215	12.215	12.215
20	7	0	6.711063	-53.348372	2.492418	1911	1475	12.774	12.774	12.774
21	7	0	6.413212	-52.875313	2.132717	1906	1465	13.333	13.333	13.333
22	7	0	6.038554	-52.540456	2.412232	1898	1458	13.836	13.836	13.836
23	7	0	5.593253	-52.202510	2.492410	1889	1452	14.395	14.395	14.395
24	7	0	5.184818	-51.830788	2.403218	1881	1444	14.947	14.947	14.947
25	7	0	4.776383	-51.459065	2.403218	1873	1437	15.499	15.499	15.499
26	7	0	4.254264	-51.259322	2.776208	1862	1433	16.058	16.058	16.058
27	7	0	3.919547	-50.820040	2.221910	1856	1424	16.611	16.611	16.611
28	7	0	3.511112	-50.448317	2.403218	1847	1417	17.163	17.163	17.163
29	7	0	3.065812	-50.110378	2.492418	1839	1410	17.722	17.722	17.722
30	7	0	2.620512	-49.772432	2.492410	1830	1403	18.281	18.281	18.281
31	7	0	2.322660	-49.299373	2.132717	1824	1394	18.840	18.840	18.840
32	7	0	1.987955	-48.860085	2.221886	1817	1385	19.392	19.392	19.392
33	7	0	1.766911	-48.248824	1.917786	1813	1373	20.042	20.042	20.042
34	7	0	1.542789	-47.708199	1.963790	1808	1362	20.628	20.628	20.628
35	7	0	1.208085	-47.268923	2.221899	1801	1353	21.180	21.180	21.180
36	7	0	0.910245	-46.795857	2.132693	1795	1344	21.739	21.739	21.739
37	7	0	0.464933	-46.457918	2.492432	1787	1337	22.298	22.298	22.298
38	7	0	0.203959	-45.951070	2.046290	1781	1327	22.868	22.868	22.868
39	7	0	-0.207565	-45.649989	2.509956	1773	1321	23.378	23.378	23.378
40	7	0	-0.579147	-45.244490	2.312575	1766	1313	23.928	23.928	23.928
41	7	0	-0.913851	-44.805208	2.221892	1759	1304	24.480	24.480	24.480
42	7	0	-1.174838	-44.298372	2.046318	1754	1294	25.050	25.050	25.050
43	7	0	-1.620138	-43.960420	2.492401	1745	1287	25.609	25.609	25.609
44	7	0	-1.991708	-43.554927	2.312566	1737	1279	26.159	26.159	26.159
45	7	0	-2.252694	-43.048079	2.046309	1732	1269	26.729	26.729	26.729
46	7	0	-2.332443	-42.442983	1.701836	1731	1256	27.340	27.340	27.340
47	7	0	-2.630294	-41.969923	2.132717	1725	1247	27.899	27.899	27.899
48	7	0	-2.928146	-41.496858	2.132711	1719	1238	28.458	28.458	28.458
49	7	0	-2.971017	-40.857991	1.637801	1718	1225	29.098	29.098	29.098
50	7	0	-3.308810	-40.489351	2.312556	1711	1217	29.598	29.598	29.598
51	7	0	-3.496066	-39.914949	1.885934	1707	1206	30.202	30.202	30.202
52	7	0	-3.677157	-39.199263	1.818626	1704	1192	30.940	30.940	30.940
53	7	0	-3.938143	-38.692421	2.046314	1698	1181	31.510	31.510	31.510
54	7	0	-3.913461	-38.127272	1.527150	1699	1170	32.076	32.076	32.076
55	7	0	-4.137582	-37.586653	1.963794	1695	1159	32.661	32.661	32.661
56	7	0	-4.291061	-37.049116	1.848919	1691	1149	33.220	33.220	33.220
57	7	0	-4.552047	-36.542281	2.046318	1686	1138	33.790	33.790	33.790
58	7	0	-4.551901	-35.728334	1.570616	1686	1122	34.604	34.604	34.604
59	7	0	-4.729891	-34.942000	1.793400	1683	1106	35.411	35.411	35.411
60	7	0	-4.560848	-34.312386	1.308496	1686	1094	36.063	36.063	36.063
61	7	0	-4.554537	-33.357155	1.564190	1686	1075	37.018	37.018	37.018
62	7	0	-4.560555	-32.684499	1.579743	1686	1061	37.691	37.691	37.691
63	7	0	-4.486678	-31.802998	1.487184	1688	1044	38.575	38.575	38.575
64	7	0	-4.640157	-31.265462	1.848919	1684	1033	39.134	39.134	39.134
65	7	0	-4.575533	-30.595894	1.474578	1686	1020	39.807	39.807	39.807
66	7	0	-4.722836	-29.917073	1.784481	1683	1006	40.501	40.501	40.501
67	7	0	-4.725778	-29.173772	1.574754	1683	991	41.245	41.245	41.245
68	7	0	-4.685677	-28.255409	1.527159	1684	973	42.164	42.164	42.164
69	7	0	-4.839156	-27.717879	1.848922	1680	962	42.723	42.723	42.723
70	7	0	-4.737667	-27.014528	1.427492	1682	948	43.434	43.434	43.434
71	7	0	-4.851193	-26.372566	1.745828	1680	935	44.086	44.086	44.086
72	7	0	-4.851046	-25.558626	1.570616	1680	919	44.899	44.899	44.899
73	7	0	-4.783346	-24.818410	1.479590	1682	904	45.643	45.643	45.643
74	7	0	-4.749410	-24.041337	1.527153	1682	888	46.421	46.421	46.421
