========================================
覆盖路径点统计信息
========================================
总路径点数: 1317

总路径距离: 700.180 米

----------------------------------------
按房间统计
----------------------------------------
房间 5: 1317 个点, 距离: 700.180 米

----------------------------------------
按房间+Segment统计
----------------------------------------
房间 5, Segment 0: 1317 个点, 距离: 700.180 米

----------------------------------------
详细路径点信息
----------------------------------------
ID	Room	Segment	X(m)	Y(m)	Yaw(rad)	U(px)	V(px)	Acc_Dist	Room_Dist	Seg_Dist
0	5	0	55.601177	-32.601101	0.262159	2889	1060	0.000	0.000	0.000
1	5	0	55.955634	-32.740182	0.257324	2896	1062	0.381	0.381	0.381
2	5	0	56.398412	-33.082023	-0.573697	2905	1069	0.940	0.940	0.940
3	5	0	56.788404	-33.394923	-0.676157	2913	1076	1.440	1.440	1.440
4	5	0	57.178395	-33.707823	-0.676157	2921	1082	1.940	1.940	1.940
5	5	0	57.568387	-34.020723	-0.676157	2929	1088	2.440	2.440	2.440
6	5	0	57.958378	-34.333623	-0.676157	2936	1094	2.940	2.940	2.940
7	5	0	58.348370	-34.646524	-0.676157	2944	1101	3.440	3.440	3.440
8	5	0	58.575166	-34.902056	-0.676157	2949	1106	3.782	3.782	3.782
9	5	0	59.035045	-35.487157	-0.765983	2958	1117	4.526	4.526	4.526
10	5	0	59.395396	-35.833780	-0.765983	2965	1124	5.026	5.026	5.026
11	5	0	59.755747	-36.180403	-0.765983	2972	1131	5.526	5.526	5.526
12	5	0	60.116097	-36.527026	-0.765983	2980	1138	6.026	6.026	6.026
13	5	0	60.476448	-36.873649	-0.765983	2987	1145	6.526	6.526	6.526
14	5	0	60.836798	-37.220272	-0.765983	2994	1152	7.026	7.026	7.026
15	5	0	61.197149	-37.566895	-0.765983	3001	1159	7.526	7.526	7.526
16	5	0	61.557499	-37.913518	-0.765983	3008	1166	8.026	8.026	8.026
17	5	0	61.917850	-38.260141	-0.765983	3016	1173	8.526	8.526	8.526
18	5	0	62.278201	-38.606764	-0.765983	3023	1180	9.026	9.026	9.026
19	5	0	62.638551	-38.953387	-0.765983	3030	1187	9.526	9.526	9.526
20	5	0	62.998902	-39.300009	-0.765983	3037	1194	10.026	10.026	10.026
21	5	0	63.359252	-39.646632	-0.765983	3044	1201	10.526	10.526	10.526
22	5	0	63.719603	-39.993255	-0.765983	3052	1207	11.026	11.026	11.026
23	5	0	64.079954	-40.339878	-0.765983	3059	1214	11.526	11.526	11.526
24	5	0	64.440304	-40.686501	-0.765983	3066	1221	12.026	12.026	12.026
25	5	0	64.800655	-41.033124	-0.765983	3073	1228	12.526	12.526	12.526
26	5	0	65.161005	-41.379747	-0.765983	3080	1235	13.026	13.026	13.026
27	5	0	65.521356	-41.726370	-0.765983	3088	1242	13.526	13.526	13.526
28	5	0	65.881706	-42.072993	-0.916753	3095	1249	14.026	14.026	14.026
29	5	0	66.706283	-43.272052	-0.993720	3111	1273	15.481	15.481	15.481
30	5	0	66.947431	-43.710056	-1.067522	3116	1282	15.981	15.981	15.981
31	5	0	67.188580	-44.148060	-1.067522	3121	1291	16.481	16.481	16.481
32	5	0	67.429728	-44.586064	-1.067522	3126	1299	16.981	16.981	16.981
33	5	0	67.670876	-45.024068	-1.011828	3131	1308	17.481	17.481	17.481
34	5	0	68.485012	-46.273131	-0.983861	3147	1333	18.972	18.972	18.972
35	5	0	68.773353	-46.681615	-0.956133	3153	1341	19.472	19.472	19.472
36	5	0	69.061695	-47.090099	-0.956133	3158	1349	19.972	19.972	19.972
37	5	0	69.350037	-47.498583	-0.956133	3164	1358	20.472	20.472	20.472
38	5	0	69.638378	-47.907067	-0.956133	3170	1366	20.972	20.972	20.972
39	5	0	69.926720	-48.315551	-0.956133	3176	1374	21.472	21.472	21.472
40	5	0	70.215061	-48.724035	-0.805915	3182	1382	21.972	21.972	21.972
41	5	0	70.997325	-49.431013	-0.851812	3197	1396	23.027	23.027	23.027
42	5	0	71.666266	-50.382038	-0.939566	3211	1415	24.189	24.189	24.189
43	5	0	72.266525	-51.167263	-0.283336	3223	1431	25.178	25.178	25.178
44	5	0	72.686619	-50.679134	1.429683	3231	1421	25.822	25.822	25.822
45	5	0	72.393401	-50.274136	2.197449	3225	1413	26.322	26.322	26.322
46	5	0	72.100183	-49.869139	2.197449	3219	1405	26.822	26.822	26.822
47	5	0	71.806964	-49.464141	2.197449	3213	1397	27.322	27.322	27.322
48	5	0	71.513746	-49.059144	2.197449	3208	1389	27.822	27.822	27.822
49	5	0	71.220528	-48.654146	2.197449	3202	1381	28.322	28.322	28.322
50	5	0	70.927310	-48.249148	2.197449	3196	1373	28.822	28.822	28.822
51	5	0	70.634091	-47.844151	2.197449	3190	1364	29.322	29.322	29.322
52	5	0	70.340873	-47.439153	2.197449	3184	1356	29.822	29.822	29.822
53	5	0	70.047655	-47.034156	2.197449	3178	1348	30.322	30.322	30.322
54	5	0	69.754437	-46.629158	2.197449	3172	1340	30.822	30.822	30.822
55	5	0	69.461218	-46.224160	2.197449	3166	1332	31.322	31.322	31.322
56	5	0	69.168000	-45.819163	2.197449	3161	1324	31.822	31.822	31.822
57	5	0	68.874782	-45.414165	2.197449	3155	1316	32.322	32.322	32.322
58	5	0	68.581564	-45.009168	2.197449	3149	1308	32.822	32.822	32.822
59	5	0	68.288345	-44.604170	2.197449	3143	1300	33.322	33.322	33.322
60	5	0	67.995127	-44.199172	2.197449	3137	1292	33.822	33.822	33.822
61	5	0	67.701909	-43.794175	2.197449	3131	1283	34.322	34.322	34.322
62	5	0	67.408691	-43.389177	2.197449	3125	1275	34.822	34.822	34.822
63	5	0	67.115472	-42.984180	2.280796	3120	1267	35.322	35.322	35.322
64	5	0	66.166689	-41.944196	2.324460	3101	1246	36.729	36.729	36.729
65	5	0	65.810336	-41.593464	2.364143	3093	1239	37.229	37.229	37.229
66	5	0	65.453984	-41.242733	2.364143	3086	1232	37.729	37.729	37.729
67	5	0	65.097631	-40.892001	2.364143	3079	1225	38.229	38.229	38.229
68	5	0	64.741278	-40.541269	2.364143	3072	1218	38.729	38.729	38.729
69	5	0	64.384926	-40.190537	2.364143	3065	1211	39.229	39.229	39.229
70	5	0	64.028573	-39.839805	2.364143	3058	1204	39.729	39.729	39.729
71	5	0	63.672221	-39.489073	2.364143	3051	1197	40.229	40.229	40.229
72	5	0	63.315868	-39.138341	2.364143	3044	1190	40.729	40.729	40.729
73	5	0	62.959516	-38.787609	2.364143	3036	1183	41.229	41.229	41.229
74	5	0	62.603163	-38.436878	2.364143	3029	1176	41.729	41.729	41.729
75	5	0	62.246810	-38.086146	2.364143	3022	1169	42.229	42.229	42.229
76	5	0	61.890458	-37.735414	2.364143	3015	1162	42.729	42.729	42.729
77	5	0	61.534105	-37.384682	2.364143	3008	1155	43.229	43.229	43.229
78	5	0	61.177753	-37.033950	2.364143	3001	1148	43.729	43.729	43.729
79	5	0	60.821400	-36.683218	2.364143	2994	1141	44.229	44.229	44.229
80	5	0	60.465048	-36.332486	2.364143	2987	1134	44.729	44.729	44.729
81	5	0	60.108695	-35.981755	2.364143	2979	1127	45.229	45.229	45.229
82	5	0	59.752342	-35.631023	2.364143	2972	1120	45.729	45.729	45.729
83	5	0	59.395990	-35.280291	2.364143	2965	1113	46.229	46.229	46.229
84	5	0	59.039637	-34.929559	2.364143	2958	1106	46.729	46.729	46.729
85	5	0	58.683285	-34.578827	2.364143	2951	1099	47.229	47.229	47.229
86	5	0	58.326932	-34.228095	2.364143	2944	1092	47.729	47.729	47.729
87	5	0	57.970580	-33.877363	2.364143	2937	1085	48.229	48.229	48.229
88	5	0	57.614227	-33.526631	2.364143	2930	1078	48.729	48.729	48.729
89	5	0	57.257874	-33.175900	2.364143	2922	1071	49.229	49.229	49.229
90	5	0	56.901522	-32.825168	2.364143	2915	1064	49.729	49.729	49.729
91	5	0	56.545169	-32.474436	2.364143	2908	1057	50.229	50.229	50.229
92	5	0	56.188817	-32.123704	1.641932	2901	1050	50.729	50.729	50.729
93	5	0	56.603546	-31.369490	0.549696	2909	1035	51.590	51.590	51.590
94	5	0	56.963451	-31.649096	-0.696575	2917	1041	52.046	52.046	52.046
95	5	0	57.310711	-32.008833	-0.803043	2923	1048	52.546	52.546	52.546
96	5	0	57.657971	-32.368569	-0.803043	2930	1055	53.046	53.046	53.046
97	5	0	58.005231	-32.728306	-0.803043	2937	1062	53.546	53.546	53.546
98	5	0	58.352491	-33.088043	-0.803043	2944	1069	54.046	54.046	54.046
99	5	0	58.699751	-33.447779	-0.803043	2951	1077	54.546	54.546	54.546
100	5	0	59.047011	-33.807516	-0.803043	2958	1084	55.046	55.046	55.046
101	5	0	59.394272	-34.167252	-0.803043	2965	1091	55.546	55.546	55.546
102	5	0	59.741532	-34.526989	-0.803043	2972	1098	56.046	56.046	56.046
103	5	0	60.088792	-34.886725	-0.803043	2979	1105	56.546	56.546	56.546
104	5	0	60.436052	-35.246462	-0.803043	2986	1113	57.046	57.046	57.046
105	5	0	60.783312	-35.606198	-0.803043	2993	1120	57.546	57.546	57.546
106	5	0	61.130572	-35.965935	-0.803043	3000	1127	58.046	58.046	58.046
107	5	0	61.477832	-36.325672	-0.803043	3007	1134	58.546	58.546	58.546
108	5	0	61.825093	-36.685408	-0.803043	3014	1141	59.046	59.046	59.046
109	5	0	62.172353	-37.045145	-0.803043	3021	1149	59.546	59.546	59.546
110	5	0	62.519613	-37.404881	-0.803043	3028	1156	60.046	60.046	60.046
111	5	0	62.866873	-37.764618	-0.803043	3035	1163	60.546	60.546	60.546
