========================================
覆盖路径点统计信息
========================================
总路径点数: 993

总路径距离: 607.147 米

----------------------------------------
按房间统计
----------------------------------------
房间 1: 993 个点, 距离: 607.147 米

----------------------------------------
按房间+Segment统计
----------------------------------------
房间 1, Segment 0: 993 个点, 距离: 607.147 米

----------------------------------------
详细路径点信息
----------------------------------------
ID	Room	Segment	X(m)	Y(m)	Yaw(rad)	U(px)	V(px)	Acc_Dist	Room_Dist	Seg_Dist
0	1	0	3.488875	31.588771	0.000000	205	1710	0.000	0.000	0.000
1	1	0	3.838875	31.988771	48.814075	212	1702	0.532	0.532	0.532
2	1	0	4.338875	31.988771	0.000000	222	1702	1.032	1.032	1.032
3	1	0	4.788875	31.838771	-18.434949	231	1705	1.506	1.506	1.506
4	1	0	5.538875	31.888771	3.814075	246	1704	2.258	2.258	2.258
5	1	0	5.888875	31.888771	0.000000	253	1704	2.608	2.608	2.608
6	1	0	6.388875	31.888771	0.000000	263	1704	3.108	3.108	3.108
7	1	0	7.188875	31.938771	3.576334	279	1703	3.909	3.909	3.909
8	1	0	7.488875	31.888771	-9.462322	285	1704	4.213	4.213	4.213
9	1	0	8.038875	31.938771	5.194429	296	1703	4.765	4.765	4.765
10	1	0	8.588875	31.938771	0.000000	307	1703	5.315	5.315	5.315
11	1	0	8.838875	31.688771	-45.000000	312	1708	5.669	5.669	5.669
12	1	0	8.838875	31.138771	-90.000000	312	1719	6.219	6.219	6.219
13	1	0	8.888875	30.588771	-84.805571	313	1730	6.771	6.771	6.771
14	1	0	8.338875	30.538771	-174.805571	302	1731	7.324	7.324	7.324
15	1	0	7.788875	30.538771	180.000000	291	1731	7.874	7.874	7.874
16	1	0	7.238875	30.488771	-174.805571	280	1732	8.426	8.426	8.426
17	1	0	6.688875	30.488771	180.000000	269	1732	8.976	8.976	8.976
18	1	0	6.088875	30.488771	180.000000	257	1732	9.576	9.576	9.576
19	1	0	5.538875	30.488771	180.000000	246	1732	10.126	10.126	10.126
20	1	0	4.888875	30.538771	175.601295	233	1731	10.778	10.778	10.778
21	1	0	4.388875	30.488771	-174.289407	223	1732	11.280	11.280	11.280
22	1	0	3.938875	30.338771	-161.565051	214	1735	11.755	11.755	11.755
23	1	0	3.538875	30.488771	159.443955	206	1732	12.182	12.182	12.182
24	1	0	3.488875	31.038771	95.194429	205	1721	12.734	12.734	12.734
25	1	0	3.888875	30.888771	-20.556045	213	1724	13.161	13.161	13.161
26	1	0	4.438875	30.938771	5.194429	224	1723	13.714	13.714	13.714
27	1	0	4.988875	30.938771	0.000000	235	1723	14.264	14.264	14.264
28	1	0	5.538875	30.988771	5.194429	246	1722	14.816	14.816	14.816
29	1	0	6.088875	30.988771	0.000000	257	1722	15.366	15.366	15.366
30	1	0	6.638875	31.038771	5.194429	268	1721	15.918	15.918	15.918
31	1	0	7.188875	31.038771	0.000000	279	1721	16.468	16.468	16.468
32	1	0	7.738875	31.088771	5.194429	290	1720	17.020	17.020	17.020
33	1	0	8.288875	31.088771	0.000000	301	1720	17.570	17.570	17.570
34	1	0	8.288875	31.638771	90.000000	301	1709	18.120	18.120	18.120
35	1	0	7.738875	31.638771	180.000000	290	1709	18.670	18.670	18.670
36	1	0	7.188875	31.588771	-174.805571	279	1710	19.223	19.223	19.223
37	1	0	6.638875	31.588771	180.000000	268	1710	19.773	19.773	19.773
38	1	0	6.088875	31.538771	-174.805571	257	1711	20.325	20.325	20.325
39	1	0	5.538875	31.538771	180.000000	246	1711	20.875	20.875	20.875
40	1	0	4.988875	31.488771	-174.805571	235	1712	21.427	21.427	21.427
41	1	0	4.438875	31.488771	180.000000	224	1712	21.977	21.977	21.977
42	1	0	3.888875	31.438771	-174.805571	213	1713	22.529	22.529	22.529
43	1	0	3.538875	29.938771	-103.134022	206	1743	24.070	24.070	24.070
44	1	0	3.538875	29.338771	-90.000000	206	1755	24.670	24.670	24.670
45	1	0	3.588875	28.838771	-84.289407	207	1765	25.172	25.172	25.172
46	1	0	3.638875	28.288771	-84.805571	208	1776	25.724	25.724	25.724
47	1	0	3.488875	27.588771	-102.094757	205	1790	26.440	26.440	26.440
48	1	0	3.538875	27.038771	-84.805571	206	1801	26.993	26.993	26.993
49	1	0	3.538875	26.488771	-90.000000	206	1812	27.543	27.543	27.543
50	1	0	3.588875	25.938771	-84.805571	207	1823	28.095	28.095	28.095
51	1	0	3.588875	25.388771	-90.000000	207	1834	28.645	28.645	28.645
52	1	0	3.638875	24.838771	-84.805571	208	1845	29.197	29.197	29.197
53	1	0	3.738875	24.388771	-77.471192	210	1854	29.658	29.658	29.658
54	1	0	3.688875	23.738771	-94.398705	209	1867	30.310	30.310	30.310
55	1	0	3.688875	23.188771	-90.000000	209	1878	30.860	30.860	30.860
56	1	0	3.738875	22.638771	-84.805571	210	1889	31.412	31.412	31.412
57	1	0	3.738875	22.088771	-90.000000	210	1900	31.962	31.962	31.962
58	1	0	3.788875	21.538771	-84.805571	211	1911	32.515	32.515	32.515
59	1	0	3.788875	20.988771	-90.000000	211	1922	33.065	33.065	33.065
60	1	0	3.788875	20.438771	-90.000000	211	1933	33.615	33.615	33.615
61	1	0	3.838875	19.888771	-84.805571	212	1944	34.167	34.167	34.167
62	1	0	3.838875	19.338771	-90.000000	212	1955	34.717	34.717	34.717
63	1	0	3.888875	18.788771	-84.805571	213	1966	35.269	35.269	35.269
64	1	0	3.888875	18.238771	-90.000000	213	1977	35.819	35.819	35.819
65	1	0	3.938875	17.688771	-84.805571	214	1988	36.371	36.371	36.371
66	1	0	3.938875	17.138771	-90.000000	214	1999	36.921	36.921	36.921
67	1	0	3.988875	16.588771	-84.805571	215	2010	37.474	37.474	37.474
68	1	0	3.988875	16.038771	-90.000000	215	2021	38.024	38.024	38.024
69	1	0	4.038875	15.488771	-84.805571	216	2032	38.576	38.576	38.576
70	1	0	4.038875	14.938771	-90.000000	216	2043	39.126	39.126	39.126
71	1	0	4.088875	14.388771	-84.805571	217	2054	39.678	39.678	39.678
72	1	0	4.088875	13.838771	-90.000000	217	2065	40.228	40.228	40.228
73	1	0	4.138875	13.288771	-84.805571	218	2076	40.780	40.780	40.780
74	1	0	4.138875	12.738771	-90.000000	218	2087	41.330	41.330	41.330
75	1	0	4.188875	12.188771	-84.805571	219	2098	41.883	41.883	41.883
76	1	0	4.188875	11.638771	-90.000000	219	2109	42.433	42.433	42.433
77	1	0	4.238875	11.088771	-84.805571	220	2120	42.985	42.985	42.985
78	1	0	4.238875	10.538771	-90.000000	220	2131	43.535	43.535	43.535
79	1	0	4.288875	9.988771	-84.805571	221	2142	44.087	44.087	44.087
80	1	0	4.288875	9.438771	-90.000000	221	2153	44.637	44.637	44.637
81	1	0	4.338875	8.888771	-84.805571	222	2164	45.190	45.190	45.190
82	1	0	4.338875	8.338771	-90.000000	222	2175	45.740	45.740	45.740
83	1	0	4.238875	7.988771	-105.945396	220	2182	46.104	46.104	46.104
84	1	0	4.738875	7.988771	0.000000	230	2182	46.604	46.604	46.604
85	1	0	5.288875	7.988771	0.000000	241	2182	47.154	47.154	47.154
86	1	0	5.838875	8.038771	5.194429	252	2181	47.706	47.706	47.706
87	1	0	6.388875	8.038771	0.000000	263	2181	48.256	48.256	48.256
88	1	0	6.988875	8.038771	0.000000	275	2181	48.856	48.856	48.856
89	1	0	7.538875	8.038771	0.000000	286	2181	49.406	49.406	49.406
90	1	0	8.138875	8.038771	0.000000	298	2181	50.006	50.006	50.006
91	1	0	8.688875	8.038771	0.000000	309	2181	50.556	50.556	50.556
92	1	0	9.288875	8.038771	0.000000	321	2181	51.156	51.156	51.156
93	1	0	9.788875	8.088771	5.710593	331	2180	51.658	51.658	51.658
94	1	0	10.388875	8.088771	0.000000	343	2180	52.258	52.258	52.258
95	1	0	10.938875	8.088771	0.000000	354	2180	52.808	52.808	52.808
96	1	0	11.488875	8.138771	5.194429	365	2179	53.361	53.361	53.361
97	1	0	12.038875	8.138771	0.000000	376	2179	53.911	53.911	53.911
98	1	0	12.588875	8.188771	5.194429	387	2178	54.463	54.463	54.463
99	1	0	13.138875	8.188771	0.000000	398	2178	55.013	55.013	55.013
100	1	0	13.688875	8.188771	0.000000	409	2178	55.563	55.563	55.563
101	1	0	14.238875	8.238771	5.194429	420	2177	56.115	56.115	56.115
102	1	0	14.788875	8.238771	0.000000	431	2177	56.665	56.665	56.665
