========================================
覆盖路径点统计信息
========================================
总路径点数: 145

总路径距离: 75.719 米

----------------------------------------
按房间统计
----------------------------------------
房间 6: 145 个点, 距离: 75.719 米

----------------------------------------
按房间+Segment统计
----------------------------------------
房间 6, Segment 0: 145 个点, 距离: 75.719 米

----------------------------------------
详细路径点信息
----------------------------------------
ID	Room	Segment	X(m)	Y(m)	Yaw(rad)	U(px)	V(px)	Acc_Dist	Room_Dist	Seg_Dist
0	6	0	5.356062	4.631711	3.108446	445	273	0.000	0.000	0.000
1	6	0	4.856336	4.648281	3.108446	435	273	0.500	0.500	0.500
2	6	0	4.356611	4.664852	3.108446	425	273	1.000	1.000	1.000
3	6	0	3.856886	4.681422	3.108446	415	272	1.500	1.500	1.500
4	6	0	3.357160	4.697992	3.108446	405	272	2.000	2.000	2.000
5	6	0	2.857435	4.714563	3.108446	395	272	2.500	2.500	2.500
6	6	0	2.357710	4.731133	3.108446	385	271	3.000	3.000	3.000
7	6	0	1.857984	4.747703	3.108446	375	271	3.500	3.500	3.500
8	6	0	1.358259	4.764273	3.108446	365	271	4.000	4.000	4.000
9	6	0	0.858533	4.780844	3.108446	355	270	4.500	4.500	4.500
10	6	0	0.358808	4.797414	3.108446	345	270	5.000	5.000	5.000
11	6	0	-0.140917	4.813984	3.108446	335	270	5.500	5.500	5.500
12	6	0	-0.640643	4.830555	-2.370521	325	269	6.000	6.000	6.000
13	6	0	-0.908243	4.068336	-1.778007	320	285	6.808	6.808	6.808
14	6	0	-0.905995	3.568341	-1.566302	320	295	7.308	7.308	7.308
15	6	0	-0.903748	3.068346	-1.566302	320	305	7.808	7.808	7.808
16	6	0	-0.901501	2.568351	-1.566302	320	315	8.308	8.308	8.308
17	6	0	-0.899254	2.068356	-1.566302	320	325	8.808	8.808	8.808
18	6	0	-0.897007	1.568361	-1.566302	320	335	9.308	9.308	9.308
19	6	0	-0.894760	1.068366	-1.566302	320	345	9.808	9.808	9.808
20	6	0	-0.892512	0.568371	-1.566302	320	355	10.308	10.308	10.308
21	6	0	-0.890265	0.068376	-1.575305	320	365	10.808	10.808	10.808
22	6	0	-0.897891	-0.624517	-2.254626	320	378	11.501	11.501	11.501
23	6	0	-1.613582	-0.819113	-2.993233	306	382	12.242	12.242	12.242
24	6	0	-2.113415	-0.806186	2.345164	296	382	12.742	12.742	12.742
25	6	0	-2.171749	-0.248494	1.627682	295	371	13.303	13.303	13.303
26	6	0	-2.173647	0.251503	1.574591	295	361	13.803	13.803	13.803
27	6	0	-2.175544	0.751499	1.574591	294	351	14.303	14.303	14.303
28	6	0	-2.177442	1.251496	1.574591	294	341	14.803	14.803	14.803
29	6	0	-2.179339	1.751492	1.574591	294	331	15.303	15.303	15.303
30	6	0	-2.181237	2.251488	1.574591	294	321	15.803	15.803	15.803
31	6	0	-2.183134	2.751485	1.574591	294	311	16.303	16.303	16.303
32	6	0	-2.185032	3.251481	1.574591	294	301	16.803	16.803	16.803
33	6	0	-2.186929	3.751478	1.574591	294	291	17.303	17.303	17.303
34	6	0	-2.188827	4.251474	1.574591	294	281	17.803	17.803	17.803
35	6	0	-2.190724	4.751470	-2.849461	294	271	18.303	18.303	18.303
36	6	0	-2.804488	4.066323	-2.044826	282	285	19.223	19.223	19.223
37	6	0	-2.798742	3.566356	-1.559303	282	295	19.723	19.723	19.723
38	6	0	-2.792995	3.066389	-1.559303	282	305	20.223	20.223	20.223
39	6	0	-2.787248	2.566422	-1.559303	282	315	20.723	20.723	20.723
40	6	0	-2.781502	2.066455	-1.559303	282	325	21.223	21.223	21.223
41	6	0	-2.775755	1.566488	-1.559303	282	335	21.723	21.723	21.723
42	6	0	-2.770008	1.066521	-1.559303	283	345	22.223	22.223	22.223
43	6	0	-2.764261	0.566554	-1.559303	283	355	22.723	22.723	22.723
44	6	0	-2.758515	0.066587	-1.559303	283	365	23.223	23.223	23.223
45	6	0	-2.752768	-0.433380	-2.370437	283	375	23.723	23.723	23.723
46	6	0	-3.543546	-0.696396	2.828018	267	380	24.556	24.556	24.556
47	6	0	-3.567736	-0.169107	1.592462	267	369	25.084	25.084	25.084
48	6	0	-3.565806	0.330889	1.566935	267	359	25.584	25.584	25.584
49	6	0	-3.563875	0.830885	1.566935	267	349	26.084	26.084	26.084
50	6	0	-3.561945	1.330881	1.566935	267	339	26.584	26.584	26.584
51	6	0	-3.560014	1.830878	1.566935	267	329	27.084	27.084	27.084
52	6	0	-3.558084	2.330874	1.566935	267	319	27.584	27.584	27.584
53	6	0	-3.556154	2.830870	1.566935	267	309	28.084	28.084	28.084
54	6	0	-3.554223	3.330866	1.566935	267	299	28.584	28.584	28.584
55	6	0	-3.552293	3.830863	1.566935	267	289	29.084	29.084	29.084
56	6	0	-3.550362	4.330859	1.566935	267	279	29.584	29.584	29.584
57	6	0	-3.548432	4.830855	2.354264	267	269	30.084	30.084	30.084
58	6	0	-4.187842	4.970805	-2.572350	254	267	30.739	30.739	30.739
59	6	0	-4.307559	4.345089	-1.672515	252	279	31.376	31.376	31.376
60	6	0	-4.302743	3.845112	-1.561163	252	289	31.876	31.876	31.876
61	6	0	-4.297926	3.345135	-1.561163	252	299	32.376	32.376	32.376
62	6	0	-4.293109	2.845158	-1.561163	252	309	32.876	32.876	32.876
63	6	0	-4.288292	2.345182	-1.561163	252	319	33.376	33.376	33.376
64	6	0	-4.283476	1.845205	-1.561163	252	329	33.876	33.876	33.876
65	6	0	-4.278659	1.345228	-1.561163	252	339	34.376	34.376	34.376
66	6	0	-4.273842	0.845251	-1.561163	253	349	34.876	34.876	34.876
67	6	0	-4.269025	0.345274	-1.561163	253	359	35.376	35.376	35.376
68	6	0	-4.264209	-0.154702	-1.561163	253	369	35.876	35.876	35.876
69	6	0	-4.259392	-0.654679	-2.370599	253	379	36.376	36.376	36.376
70	6	0	-4.810096	-0.685085	2.437437	242	380	36.927	36.927	36.927
71	6	0	-4.833728	-0.166828	1.599718	241	369	37.446	37.446	37.446
72	6	0	-4.839553	0.333138	1.582446	241	359	37.946	37.946	37.946
73	6	0	-4.845377	0.833104	1.582446	241	349	38.446	38.446	38.446
74	6	0	-4.851202	1.333070	1.582446	241	339	38.946	38.946	38.946
75	6	0	-4.857027	1.833036	1.582446	241	329	39.446	39.446	39.446
76	6	0	-4.862852	2.333002	1.582446	241	319	39.946	39.946	39.946
77	6	0	-4.868677	2.832968	1.582446	241	309	40.446	40.446	40.446
78	6	0	-4.874502	3.332934	1.582446	241	299	40.946	40.946	40.946
79	6	0	-4.880327	3.832900	1.582446	240	289	41.446	41.446	41.446
80	6	0	-4.886151	4.332866	1.582446	240	279	41.946	41.946	41.946
81	6	0	-4.891976	4.832832	-2.767913	240	269	42.446	42.446	42.446
82	6	0	-5.299671	4.170724	-1.903744	232	283	43.224	43.224	43.224
83	6	0	-5.293846	3.670758	-1.559146	232	293	43.724	43.724	43.724
84	6	0	-5.288021	3.170792	-1.559146	232	303	44.224	44.224	44.224
85	6	0	-5.282197	2.670826	-1.559146	232	313	44.724	44.724	44.724
86	6	0	-5.276372	2.170860	-1.559146	232	323	45.224	45.224	45.224
87	6	0	-5.270547	1.670894	-1.559146	233	333	45.724	45.724	45.724
88	6	0	-5.264722	1.170928	-1.559146	233	343	46.224	46.224	46.224
89	6	0	-5.258897	0.670961	-1.559146	233	353	46.724	46.724	46.724
90	6	0	-5.253072	0.170995	-1.559146	233	363	47.224	47.224	47.224
91	6	0	-5.247247	-0.328971	-0.801243	233	373	47.724	47.724	47.724
92	6	0	-4.410561	-0.698648	-0.284904	250	380	48.638	48.638	48.638
93	6	0	-3.911030	-0.720311	-0.043340	260	380	49.138	49.138	49.138
94	6	0	-3.411500	-0.741974	-0.043340	270	381	49.638	49.638	49.638
95	6	0	-2.911970	-0.763637	-0.043340	280	381	50.138	50.138	50.138
96	6	0	-2.412439	-0.785301	-0.043340	290	382	50.638	50.638	50.638
97	6	0	-1.912909	-0.806964	-0.043340	300	382	51.138	51.138	51.138
98	6	0	-1.413378	-0.828627	0.375437	310	383	51.638	51.638	51.638
99	6	0	-0.330665	-0.183353	0.809137	331	370	52.899	52.899	52.899
100	6	0	-0.321311	0.316559	1.552087	332	360	53.399	53.399	53.399
101	6	0	-0.311957	0.816472	1.552087	332	350	53.899	53.899	53.899
102	6	0	-0.302603	1.316384	1.552087	332	340	54.399	54.399	54.399
103	6	0	-0.293250	1.816297	1.552087	332	330	54.899	54.899	54.899
104	6	0	-0.283896	2.316209	1.552087	332	320	55.399	55.399	55.399
105	6	0	-0.274542	2.816122	1.552087	333	310	55.899	55.899	55.899
106	6	0	-0.265188	3.316034	1.552087	333	300	56.399	56.399	56.399
107	6	0	-0.255834	3.815947	1.552087	333	290	56.899	56.899	56.899
108	6	0	-0.246480	4.315859	0.760711	333	280	57.399	57.399	57.399
109	6	0	0.363294	4.405236	0.066638	345	278	58.015	58.015	58.015
110	6	0	0.863059	4.389906	-0.030665	355	278	58.515	58.515	58.515
111	6	0	1.362824	4.374576	-0.030665	365	279	59.015	59.015	59.015
112	6	0	1.862589	4.359246	-0.030665	375	279	59.515	59.515	59.515
113	6	0	2.362354	4.343916	-0.030665	385	279	60.015	60.015	60.015
114	6	0	2.862119	4.328585	-0.030665	395	279	60.515	60.515	60.515
115	6	0	3.361883	4.313255	-0.030665	405	280	61.015	61.015	61.015
116	6	0	3.861648	4.297925	-0.030665	415	280	61.515	61.515	61.515
117	6	0	4.361413	4.282595	-0.030665	425	280	62.015	62.015	62.015
118	6	0	4.861178	4.267265	-1.458906	435	281	62.515	62.515	62.515
119	6	0	4.410348	3.847079	-2.734415	426	289	63.131	63.131	63.131
120	6	0	3.910451	3.857235	3.121279	416	289	63.631	63.631	63.631
121	6	0	3.410554	3.867391	3.121279	406	289	64.131	64.131	64.131
122	6	0	2.910657	3.877547	3.121279	396	288	64.631	64.631	64.631
123	6	0	2.410760	3.887703	3.121279	386	288	65.131	65.131	65.131
124	6	0	1.910864	3.897859	3.121279	376	288	65.631	65.631	65.631
125	6	0	1.410967	3.908015	3.121279	366	288	66.131	66.131	66.131
126	6	0	0.911070	3.918170	3.121279	356	288	66.631	66.631	66.631
127	6	0	0.411173	3.928326	-2.376938	346	287	67.131	67.131	67.131
128	6	0	0.233728	3.268362	-1.731514	343	301	67.815	67.815	67.815
129	6	0	0.223142	2.768474	-1.591970	342	311	68.315	68.315	68.315
130	6	0	0.212556	2.268586	-1.591970	342	321	68.815	68.815	68.815
131	6	0	0.201971	1.768698	-1.591970	342	331	69.315	69.315	69.315
132	6	0	0.191385	1.268810	-1.591970	342	341	69.815	69.815	69.815
133	6	0	0.180799	0.768922	-1.591970	342	351	70.315	70.315	70.315
134	6	0	0.170213	0.269035	-1.591970	341	361	70.815	70.815	70.815
135	6	0	0.159627	-0.230853	-0.648920	341	371	71.315	71.315	71.315
136	6	0	0.731239	-0.156504	0.777934	353	369	71.891	71.891	71.891
137	6	0	0.742486	0.343369	1.548300	353	359	72.391	72.391	72.391
138	6	0	0.753733	0.843243	1.548300	353	349	72.891	72.891	72.891
139	6	0	0.764980	1.343116	1.548300	353	339	73.391	73.391	73.391
140	6	0	0.776227	1.842990	1.548300	354	329	73.891	73.891	73.891
141	6	0	0.787475	2.342863	1.548300	354	319	74.391	74.391	74.391
142	6	0	0.798722	2.842737	1.548300	354	309	74.891	74.891	74.891
143	6	0	0.809969	3.342610	1.522754	354	299	75.391	75.391	75.391
144	6	0	0.838454	3.669122	1.483776	355	293	75.719	75.719	75.719
