========================================
覆盖路径点统计信息
========================================
总路径点数: 21

总路径距离: 11.000 米

----------------------------------------
按房间统计
----------------------------------------
房间 5: 21 个点, 距离: 11.000 米

----------------------------------------
按房间+Segment统计
----------------------------------------
房间 5, Segment 0: 21 个点, 距离: 11.000 米

----------------------------------------
详细路径点信息
----------------------------------------
ID	Room	Segment	X(m)	Y(m)	Yaw(rad)	U(px)	V(px)	Acc_Dist	Room_Dist	Seg_Dist
0	5	0	-4.099265	-3.385033	-0.016358	256	434	0.000	0.000	0.000
1	5	0	-3.549339	-3.394029	-0.016358	267	434	0.550	0.550	0.550
2	5	0	-2.999413	-3.403026	-0.016361	278	434	1.100	1.100	1.100
3	5	0	-2.449486	-3.412024	-0.016358	289	434	1.650	1.650	1.650
4	5	0	-1.899559	-3.421021	-0.016358	300	434	2.200	2.200	2.200
5	5	0	-1.349632	-3.430017	-0.016358	311	435	2.750	2.750	2.750
6	5	0	-0.799707	-3.439014	-0.016358	322	435	3.300	3.300	3.300
7	5	0	-0.249780	-3.448010	-0.016358	333	435	3.850	3.850	3.850
8	5	0	0.300146	-3.457007	-0.016358	344	435	4.400	4.400	4.400
9	5	0	0.850073	-3.466003	-0.016358	355	435	4.950	4.950	4.950
10	5	0	1.399998	-3.475000	-0.016361	366	436	5.500	5.500	5.500
11	5	0	1.949925	-3.483998	-0.016358	377	436	6.050	6.050	6.050
12	5	0	2.499852	-3.492995	-0.016358	388	436	6.600	6.600	6.600
13	5	0	3.049779	-3.501991	-0.016358	399	436	7.150	7.150	7.150
14	5	0	3.599704	-3.510988	-0.016358	410	436	7.700	7.700	7.700
15	5	0	4.149631	-3.519984	-0.016358	421	436	8.250	8.250	8.250
16	5	0	4.699557	-3.528981	-0.016358	432	437	8.800	8.800	8.800
17	5	0	5.249484	-3.537978	-0.016358	443	437	9.350	9.350	9.350
18	5	0	5.799411	-3.546974	-0.016361	454	437	9.900	9.900	9.900
19	5	0	6.349336	-3.555972	-0.016358	465	437	10.450	10.450	10.450
20	5	0	6.899263	-3.564969	-0.016358	476	437	11.000	11.000	11.000
